athlete_id,first_name,last_name,gp,gs,minutes,goals,assists,points,shots,sog,gwg,pk_goals,pk_att,yc,rc,gk_ga,gk_gaa,gk_saves,gk_sv_pct,gk_shutouts
fh_e03618776d4d,Ava,Fields,19,19,1115,1,0,2,10,5,0,0,0,,,,,,,
fh_75f7464ace1f,Cassidy,Alexander,18,17,984,0,0,0,0,0,0,0,0,,,30,1.8,74,0.712,
fh_3658c5cf7c2d,Regan,Fields,3,0,8,0,0,0,1,1,0,0,0,,,,,,,
fh_df8cf2ea9345,Maia,Fissel,2,0,33,0,0,0,0,0,0,0,0,,,,,,,
fh_77fa1bbc02db,Autumn,Goldsberry,2,0,15,0,0,0,0,0,0,0,0,,,0,0.0,1,1.0,
fh_c4a40c46c4d4,Jordan,Ivey,4,1,90,0,0,0,0,0,0,0,0,,,0,0.0,3,1.0,
fh_ec8c18e674e6,Emma,Meissner,2,0,15,0,0,0,0,0,0,0,0,,,0,0.0,0,0.0,
fh_34072e8b8041,Kaitlyn,Mogar,9,0,86,0,0,0,0,0,0,0,0,,,,,,,
fh_4400f978e644,Natalie,Opatovsky,4,0,28,0,0,0,0,0,0,0,0,,,,,,,
fh_0777868af294,Emily,Schorr,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
fh_5fccd61546a2,Sidney,Tucci,2,0,28,0,0,0,0,0,0,0,0,,,,,,,
fh_9facfcf69126,Mary,Weaver,3,0,20,0,0,0,1,1,0,0,0,,,,,,,
fh_eb65f7830ff1,Callahan,Day,18,18,,12,7,31,59,51,4,0,0,,,,,,,
fh_d4a65d493a26,Anouk,Bosket,17,16,,4,4,12,58,44,2,0,0,,,,,,,
fh_21e0981d4f54,Annika,Peterson,18,18,,4,1,9,24,19,1,1,2,,,,,,,
fh_2babe141c378,Halie,Yung,18,17,,3,2,8,32,20,0,0,0,,,,,,,
fh_eeb579ae1409,Maya,Zager,7,1,,4,0,8,6,6,1,0,0,,,,,,,
fh_b53a83925799,Gracie,Hylton,18,18,,2,0,4,13,7,0,0,0,,,,,,,
fh_9d55b0e4b8e8,Grace,Irizarry,18,17,,1,1,3,11,7,0,0,0,,,,,,,
fh_fe73cb398a5b,Sam,Sparling,18,18,,0,3,3,9,5,0,0,0,,,,,,,
fh_56201dce5c4a,Nyla,Flamer,8,0,,1,0,2,4,3,0,0,0,,,,,,,
fh_fd764bafd46a,Isabel,Johnson,18,18,,1,0,2,8,6,0,0,0,,,,,,,
fh_a95d689bc6d7,Lucia,Kim,7,0,,1,0,2,4,2,0,0,0,,,,,,,
