school,sport,gender,division,conference,athletes,intl
Akron,basketball,Men,D1,Mid-American Conference,16,3
Akron,basketball,Women,D1,Mid-American Conference,14,3
Akron,cross_country,Men,D1,Mid-American Conference,9,3
Akron,cross_country,Women,D1,Mid-American Conference,8,1
Akron,football,Men,D1,Mid-American Conference,103,4
Akron,golf,Women,D1,Mid-American Conference,7,5
Akron,lacrosse,Women,D1,Mid-American Conference,33,1
Akron,soccer,Men,D1,Mid-American Conference,28,10
Akron,soccer,Women,D1,Mid-American Conference,25,0
Akron,softball,Women,D1,Mid-American Conference,23,2
Akron,swimming,Women,D1,Mid-American Conference,25,9
Akron,track_indoor,Men,D1,Mid-American Conference,42,6
Akron,track_indoor,Women,D1,Mid-American Conference,39,8
Akron,track_outdoor,Men,D1,Mid-American Conference,42,6
Akron,track_outdoor,Women,D1,Mid-American Conference,39,8
Akron,volleyball,Women,D1,Mid-American Conference,17,3
Alabama,baseball,Men,D1,Southeastern Conference,43,1
Alabama,basketball,Men,D1,Southeastern Conference,15,3
Alabama,basketball,Women,D1,Southeastern Conference,11,0
Alabama,football,Men,D1,Southeastern Conference,104,1
Alabama,golf,Men,D1,Southeastern Conference,10,0
Alabama,golf,Women,D1,Southeastern Conference,8,5
Alabama,gymnastics,Women,D1,Southeastern Conference,8,0
Alabama,rowing,Women,D1,Southeastern Conference,72,8
Alabama,soccer,Women,D1,Southeastern Conference,27,1
Alabama,softball,Women,D1,Southeastern Conference,21,0
Alabama,swimming,Men,D1,Southeastern Conference,24,10
Alabama,swimming,Women,D1,Southeastern Conference,29,6
Alabama,tennis,Men,D1,Southeastern Conference,10,7
Alabama,tennis,Women,D1,Southeastern Conference,8,7
Alabama,track_indoor,Men,D1,Southeastern Conference,46,17
Alabama,track_indoor,Women,D1,Southeastern Conference,45,11
Alabama,track_outdoor,Men,D1,Southeastern Conference,46,17
Alabama,track_outdoor,Women,D1,Southeastern Conference,45,11
Alabama,volleyball,Women,D1,Southeastern Conference,18,0
Alabama A&M,baseball,Men,D1,Southwestern Athletic Conference,44,1
Alabama A&M,basketball,Men,D1,Southwestern Athletic Conference,15,2
Alabama A&M,basketball,Women,D1,Southwestern Athletic Conference,14,0
Alabama A&M,cross_country,Men,D1,Southwestern Athletic Conference,7,2
Alabama A&M,cross_country,Women,D1,Southwestern Athletic Conference,7,4
Alabama A&M,football,Men,D1,Southwestern Athletic Conference,119,1
