athlete_id,first_name,last_name,mp,sets,kills,errors,ta,pct,assists,digs,aces,serve_errors,block_solos,block_assists,blocks,recv_errors,points
vb_b95ef0c8eef2,Kindra,Smith,21,64,113,51,381,0.163,3,49,12,3,27,14,41.0,4,159.0
vb_425fe3b74ee7,Kristiana,Swaffer,3,3,0,0,1,0.0,0,1,0,0,0,0,0.0,0,0.0
vb_281555ee0900,Layla,Damotte,24,78,84,146,552,-0.112,7,287,33,25,4,6,10.0,59,124.0
vb_1aa5c3c64922,Tara,Lacock,2,3,2,2,5,0.0,0,0,0,0,0,0,0.0,1,2.0
vb_ec3b61e3bc19,Sophia,Linder,7,13,3,16,30,-0.433,0,4,2,1,0,0,0.0,8,5.0
vb_06fcb977110e,Sara,Fitz-Henry,21,70,1,6,29,-0.172,3,201,12,29,0,0,0.0,20,13.0
vb_7d5080b3c466,Elizabeth,Joo,21,79,1,0,20,0.05,87,299,20,12,0,0,0.0,33,21.0
vb_a7ab2e726065,MiLani,Terrell,21,69,91,57,369,0.092,6,92,4,12,1,8,9.0,27,100.0
vb_aedfdcca1974,Avery,Rahe,24,80,178,81,525,0.185,0,36,0,0,2,26,28.0,0,193.0
vb_e847b6a52f5c,Camilia,Jones,17,60,5,1,27,0.148,228,108,14,16,0,0,0.0,1,19.0
vb_bfe5a2e13a36,Hannah,Morrow,25,93,15,5,90,0.111,505,294,23,14,2,10,12.0,1,45.0
vb_49c7857b46f3,Greta,Seppanen,17,56,0,1,6,-0.167,17,92,17,16,0,0,0.0,17,17.0
vb_ec018ba134b4,Lily,Johnson,2,2,0,0,4,0.0,0,0,0,0,0,0,0.0,2,0.0
vb_a055b6208f9e,Adonia,Anene,25,87,261,149,884,0.127,12,241,14,30,8,16,24.0,53,291.0
vb_4b35ffd02dd5,Alia,Sherrow,12,38,25,22,109,0.028,1,15,12,14,3,14,17.0,0,47.0
vb_d28692e8b934,Kailee,Banta,15,43,0,1,4,-0.25,2,95,8,15,0,0,0.0,16,8.0
vb_946b0c5c997a,Grace,Watkins,6,16,18,11,104,0.067,1,7,0,0,0,0,0.0,2,18.0
vb_aad2ae15543b,Ella,Cohen-Richie,18,51,119,88,375,0.083,10,83,21,25,1,9,10.0,24,145.5
vb_c27c6a6e32fe,Danielle,Oji,22,76,56,28,191,0.147,1,31,8,22,11,32,43.0,1,91.0
vb_9a0d77ded74d,Hannah,Eisenman,21,75,94,46,284,0.169,2,55,1,2,3,13,16.0,6,104.5
vb_f01c2daf7065,Sydney,Stratton,20,71,96,46,261,0.192,0,7,0,0,12,36,48.0,1,126.0
vb_cf36b8024762,Anna,Kudick,30,92,198,92,591,0.179,11,71,0,3,1,24,25.0,10,211.0
vb_c35373f6ad2d,Maddie,Kitowski,29,81,0,2,2,-1.0,19,58,21,30,0,0,0.0,2,21.0
vb_3d2d01f8f4d6,Casey,Vaughan,30,93,270,106,840,0.195,31,248,14,31,3,20,23.0,24,297.0
vb_759a53ef595e,Annabel,Stevenson,26,68,150,70,492,0.163,5,77,7,3,3,15,18.0,17,167.5
vb_197430de7b67,Mari,Szews,29,95,222,59,450,0.362,7,42,9,16,18,51,69.0,0,274.5
vb_ef4282fc3c99,Reese,Sellers,4,4,4,2,18,0.111,0,8,0,2,0,0,0.0,1,4.0
vb_30952efe12cb,Sophia,Prins,12,20,40,24,117,0.137,5,25,4,5,0,4,4.0,10,46.0
vb_83bfeaa87c96,Keira,Ashenfelter,28,62,3,2,20,0.05,165,63,14,10,0,0,0.0,1,17.0
vb_ecdc9988c7e0,Mickenzi,Benter,30,93,221,93,588,0.218,87,74,8,13,0,35,35.0,1,246.5
vb_9171269f5026,Andrianna,Volz,30,96,4,4,16,0.0,28,216,42,60,0,0,0.0,14,46.0
vb_278cfc06d7bb,Heidi,Colburn,28,97,84,22,227,0.273,839,290,50,32,2,21,23.0,2,146.5
vb_3aed514d011e,Kara,Sowinski,30,103,2,1,49,0.02,93,394,0,0,0,0,0.0,17,2.0
vb_81d993cc1b0c,Claire,Leynse,28,94,1,1,11,0.0,20,199,28,29,0,0,0.0,33,29.0
vb_b0064fdf908e,Alli,Clark,18,44,55,16,129,0.302,7,29,11,10,2,16,18.0,0,76.0
vb_21e85887e92e,Emma,Dries,6,12,7,1,18,0.333,2,0,0,0,0,8,8.0,0,11.0
vb_f4141c189225,Kayden,Lamon,17,28,45,16,105,0.276,1,5,0,0,0,8,8.0,1,49.0
vb_75b4a7cb3015,Mya,Kapalko,11,20,31,18,88,0.148,3,14,2,1,0,5,5.0,2,35.5
vb_23846af47eb2,Kirsten,Klatt,28,70,59,19,175,0.229,5,28,0,0,19,47,66.0,0,101.5
vb_b9640c0645ea,Katie,Schmidt,16,27,1,0,3,0.333,1,20,2,5,0,0,0.0,5,3.0
vb_0a06fc0ebeae,Clare,Williams,9,18,19,11,47,0.17,1,8,3,0,2,8,10.0,0,28.0
vb_a1e730d0bda4,Flynn,Puttin,14,22,2,1,3,0.333,17,21,9,7,0,0,0.0,0,11.0
vb_88fb8203f546,Gracie,Buss,7,13,30,18,89,0.135,0,7,0,0,0,2,2.0,2,31.0
vb_7dfa6655541d,Claire,Dailey,14,23,0,0,1,0.0,5,25,0,8,0,0,0.0,3,0.0
vb_8d2f05601249,Lily,Ebright,28,102,3,3,20,0.0,99,611,36,38,0,0,0.0,31,39.0
vb_a5f3a6c74b52,Emi,Fisher,2,3,0,0,0,0.0,0,1,1,0,0,0,0.0,0,1.0
vb_43c744a0413d,Amaya,Harrell,23,81,204,56,455,0.325,3,30,0,0,10,32,42.0,0,230.0
vb_7ffc8c9d39fa,Desiree,Beverley,2,4,8,1,22,0.318,0,2,0,0,0,0,0.0,0,8.0
vb_879060c6fdb2,Shae,Clements,28,102,28,23,122,0.041,11,219,7,8,1,6,7.0,18,39.0
vb_1d8e41366424,Marleena,Armstrong,3,9,4,1,15,0.2,0,1,0,0,1,1,2.0,0,5.5
vb_4f77bb618512,Julia,Irmen,28,102,31,12,163,0.117,1023,289,35,38,1,13,14.0,1,73.5
vb_192edc8bbff0,Ellie,Harshany,28,102,0,3,10,-0.3,6,173,22,29,1,1,2.0,23,23.5
vb_ecfd2be85ff9,Aurora,Schmidt,21,61,93,62,399,0.078,9,121,44,24,2,8,10.0,19,143.0
vb_60a74e339b8e,Julia,Vamos,9,23,23,8,70,0.214,0,10,0,0,0,7,7.0,0,26.5
vb_5c4097209ba5,Greta,Carlson,28,101,332,139,947,0.204,4,89,3,9,8,31,39.0,2,358.5
vb_e08eeff5c6e9,Emma,Blanton,22,79,261,151,817,0.135,17,244,21,31,5,12,17.0,31,293.0
vb_c5cec97400f0,Kierra,Leick-Bjorklund,1,1,0,0,0,0.0,1,0,0,0,0,0,0.0,0,0.0
vb_4ce3481caeb9,Keira,Ohse,28,102,246,42,635,0.321,6,66,20,13,10,37,47.0,1,294.5
vb_23b5f6f5df7e,Peyton,Blackwell-Spangler,4,14,13,6,40,0.175,0,0,0,0,0,6,6.0,1,16.0
vb_ccacf219447e,Hannah,Bergfeld,14,30,46,33,164,0.079,3,38,7,15,1,1,2.0,2,54.5
