athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
wp_3dfadfb7b424,Yalissa,Tellez,Allied Health,Elsinore HS,5-2,62.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Utility,Utility,Fr.,Fr,"Menifee, CA",Menifee,CA,domestic,Elsinore HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_e54dd7674616,Evalena,Filippi,,,5-9,69.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Goalkeeper GK,Goalkeeper,So.,So,"Clovis, Calif.",Clovis,CA,domestic,Ore. Reynolds High School,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_e363f2ad0426,Frances,Benson,Criminal Justice,,5-8,68.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Utility UTL,Utility,So.,So,"Gig Harbor, Wash.",Gig Harbor,WA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_f20631139229,Summer,Fulton,Pre-Med Health Sciences,Reynolds High School,5-8,68.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Utility UTL,Utility,Sr.,Sr,"Troutdale, Ore.",Troutdale,OR,domestic,Ore. Reynolds High School,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_2dc3edd17849,Emma,Cook,Nursing,,5-9,69.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Center C,Center,Sr.,Sr,"Clovis, Calif.",Clovis,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_ecde26fa777d,Kennedy,Green,Kinesiology,,5-5,65.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Attacker ATT,Attacker,Fr.,Fr,"Thousand Oaks, Calif.",Thousand Oaks,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_386d9b3c0ed0,Autumn,Johnson,Studio Art,,5-10,70.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Driver D,Driver,So.,So,"Gresham, Oregon",Gresham,OR,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_0fb21a4220a4,Abigail,Hughes,Liberal Studies,,5-4,64.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Utility UTL,Utility,Fr.,Fr,"Clovis, Calif.",Clovis,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_c064a1c58930,Dakota,Lambert,,,5-6,66.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Utility UTL,Utility,So.,So,"Clovis, Calif.",Clovis,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_c691c23f0c97,Delaney,Margullis,,,5-6,66.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Attacker ATT,Attacker,Fr.,Fr,"Clovis, Calif.",Clovis,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_863058ebfa36,Sierra,Coyne,Business (Political Science),,5-10,70.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Utility UTL,Utility,Jr.,Jr,"Clovis, Calif.",Clovis,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_17c9cbdf9f9e,Trinity,Aceves,,,5-5,65.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Attacker ATT,Attacker,Fr.,Fr,"Porterville, Calif.",Porterville,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_275ff75af882,Maggie,Cook,Liberal Studies,,5-8,68.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Guard G,Goalkeeper,Jr.,Jr,"Clovis, Calif.",Clovis,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_f5f6aa59fb9f,Regan,Azevedo,Pre-Health Sciences,Monache High School,5-9,69.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,2-Meter Guard 2MG,Other,Sr.,Sr,"Porterville, Calif.",Porterville,CA,domestic,Calif. Monache High School,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_f5b32e83cfd8,Sofia,DeRollo,,,5-8,68.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Utility UTL,Utility,Fr.,Fr,"San Jose, Calif.",San Jose,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_eee4ab651660,Mackenzie,Sepeda,Philosophy and Political Science,,5-4,64.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Attacker ATT,Attacker,Jr.,Jr,"Tulare, Calif.",Tulare,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_6051f7f15043,Olivia,Saldate,Business,,5-3,63.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Utility UTL,Utility,So.,So,"Fresno, Calif.",Fresno,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_365c54d618fe,Rhyan,Atkin,Liberal Studies,,5-4,64.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Driver Driver,Driver,So.,So,"Bakersfield, Calif.",Bakersfield,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_8f5858497ec4,Davin,Collazo,,,5-4,64.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,Guard G,Goalkeeper,Fr.,Fr,"Selma, Calif.",Selma,CA,domestic,,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_9a24c0f87e39,Milliani,Arellano,Marketing & Accounting,Fresno City College,5-3,63.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Fresno Pacific,UTL UTL,Utility,R-Fr.,Fr,"Fresno, Calif.",Fresno,CA,domestic,Central East High School,0,https://www.fpusunbirds.com/sports/womens-water-polo/roster/2026
wp_1576a84d0bec,Izabella,Trunzo,,,,,,,water_polo,2025-26,2025,D2,Women,Pennsylvania State Athletic Conference,Gannon,GK,Goalkeeper,So.,So,"Pittsburgh, Pa.",Pittsburgh,PA,domestic,North Allegheny,0,https://gannonsports.com/sports/womens-water-polo/roster/2026
