athlete_id,first_name,last_name,gp,gs,ab,r,h,doubles,triples,hr,rbi,tb,bb,so,sb,sb_att,avg,ip,era,w,l,sv,k,app
bb_8a36bdc52334,Mark,Ross,48,46,156,27,37,8,1,4,18,59,28,48,3,3,0.237,,,,,,,
bb_76a49c40885e,Zach,Adams,20,12,46,6,16,3,1,0,7,21,2,10,0,0,0.348,,,,,,,
bb_f4bca474f292,Casey,Shipley,28,23,83,14,26,2,0,3,8,37,4,13,0,0,0.313,,,,,,,
bb_1e76ec0ee366,Keaton,Laidley,33,25,99,18,28,6,0,4,23,46,6,34,4,4,0.283,,,,,,,
bb_cad0d79c051b,Kade,Seldomridge,13,10,38,6,10,1,1,0,3,13,1,11,2,2,0.263,,,,,,,
bb_b1150a632a9e,Landon,Carter,23,18,70,15,18,4,0,2,10,28,5,20,7,8,0.257,,,,,,,
bb_f4942049800b,Jayden,Sloan,37,33,129,21,29,3,0,3,18,41,17,43,5,6,0.225,,,,,,,
bb_5a8d761ff9d7,Keon,Moseni,28,18,63,12,14,2,1,0,4,18,8,22,1,1,0.222,,,,,,,
bb_77293d1cd1d8,Carter,Alexander,4,1,5,1,1,0,0,0,0,1,0,2,0,0,0.2,,,,,,,
bb_89c154ea0c08,Noah,Goodshield,25,11,34,9,6,0,1,0,4,8,6,9,3,4,0.176,,,,,,,
bb_15da3f292661,Sam,Reynolds,25,14,56,6,6,1,0,1,8,10,7,19,1,1,0.107,,,,,,,
bb_3dba9df0e372,Hunter,Alexander,,,,,,,,,,,,,,,,65.0,2.49,7,2,12,80,
bb_05f1200cf75e,Denver,Hamilton,,,,,,,,,,,,,,,,78.0,3.0,9,0,0,54,
bb_76152a2d4b1c,Braxton,Haywood,,,,,,,,,,,,,,,,19.2,2.29,2,1,0,22,
bb_4c13fdb94ded,Caden,Meeler,,,,,,,,,,,,,,,,14.2,5.52,2,1,0,10,
bb_d1478a2a0e02,Jake,Jones,,,,,,,,,,,,,,,,55.0,5.56,4,5,1,45,
bb_ceadc4643f0e,Silas,Cowgill,,,,,,,,,,,,,,,,39.2,6.13,4,0,0,25,
bb_a054415679d6,Patrick,Fernandez,,,,,,,,,,,,,,,,36.1,6.94,1,4,0,34,
bb_e49fa8f54fe1,JB,Williams,,,,,,,,,,,,,,,,36.2,7.12,2,4,0,25,
bb_937699b18a5b,Tobin,Cantrill,,,,,,,,,,,,,,,,5.0,7.2,0,0,0,3,
bb_4ea181b0c643,Austin,Jones,,,,,,,,,,,,,,,,16.2,7.56,0,0,0,16,
bb_f9b818fc5628,Caide,White,,,,,,,,,,,,,,,,31.2,7.96,0,2,0,23,
bb_fefa9ac868bc,Jacob,Pannell,,,,,,,,,,,,,,,,52.1,8.08,0,4,0,40,
bb_3977c98df6ea,Kannon,Nesslage,,,,,,,,,,,,,,,,19.2,10.07,0,1,0,11,
bb_9c1493b16098,Samuel,Curtis,,,,,,,,,,,,,,,,9.2,10.24,0,0,0,10,
bb_b8df20b7e458,Luke,Lorence,,,,,,,,,,,,,,,,4.2,17.36,0,1,0,2,
bb_bb01bde5f7f3,Nicholas,French,,,,,,,,,,,,,,,,6.1,22.74,0,1,0,6,
bb_3573e4430fdd,Aaron,Fitch,,,,,,,,,,,,,,,,0.1,54.0,0,0,0,0,
bb_afeee8ed943e,David,Alvarez,54,54,221,40,70,16,2,8,49,114,12,50,1,5,0.317,,,,,,,
bb_3440d1e5fe5d,Pedro,Moreno,55,55,211,55,64,15,4,5,43,102,38,38,14,20,0.303,,,,,,,
bb_a99b7b948560,Ricco,Longo,45,45,167,24,47,4,0,2,25,57,12,16,2,3,0.281,,,,,,,
bb_c5e7d6329c3a,Khaleel,Pratt,54,54,176,38,47,9,3,11,37,95,38,42,20,22,0.267,,,,,,,
bb_a25e811233aa,Dylan,Littlefield,55,55,209,37,51,9,0,12,41,96,17,42,5,6,0.244,,,,,,,
bb_1a1d44d122ee,Kobe,Benson,55,50,139,28,33,3,0,1,11,39,41,32,9,11,0.237,,,,,,,
bb_92960ea2a0e2,Jackson,Cauthron,50,44,148,26,35,7,4,3,27,59,18,22,4,6,0.236,,,,,,,
bb_b8039b5e94e2,Owen,Barger,16,4,22,4,7,1,0,1,3,11,2,6,1,1,0.318,,,,,,,
bb_23fbbe2dddb9,Jay,Douglas,20,20,76,14,22,5,0,0,11,27,9,18,6,8,0.289,,,,,,,
