athlete_id,first_name,last_name,gp,gs,goals,assists,points,shots,sog,gwg,gb,to,ct,dc,fow,fo_att,minutes,gk_ga,gk_gaa,gk_saves,gk_sv_pct
lax_cc589ea1f524,Jontae,Johnson,15,11,10,10,20,35,22,0,12,34,4,,1,3,,,,,
lax_7a7d8c2a1cef,Daniel,Curran,15,11,7,10,17,43,24,1,14,29,5,,0,0,,,,,
lax_c68a230b429e,Balin,Luebbert,15,13,7,4,11,35,21,0,5,19,2,,10,62,,,,,
lax_0a8c84bca3b0,Eli,Teater,15,1,1,3,4,5,4,0,97,20,2,,184,369,,,,,
lax_6c4f082c1c10,Patrick,Clancy,11,0,1,0,1,2,1,0,1,5,1,,0,0,,,,,
lax_220c98787480,Jamel,Segar,13,3,1,0,1,6,5,0,0,5,0,,0,0,,,,,
lax_81a2067308f0,Cooper,Robinson,13,3,0,1,1,5,1,0,17,7,2,,0,0,,,,,
lax_402aa9b42d2f,Cian,Cribbs,12,0,0,0,0,0,0,0,4,3,4,,0,0,,,,,
lax_a1a628c928bf,Jordan,Garcia,11,1,0,0,0,8,6,0,2,8,1,,0,0,,,,,
lax_4ecf4eaeab56,Carter,Harris,11,8,0,0,0,0,0,0,10,7,8,,0,0,,,,,
lax_63fa5b4df941,Erick,Jenkins,15,1,0,0,0,0,0,0,8,9,4,,0,0,,,,,
lax_082283772a68,John,Kelly,15,15,0,0,0,0,0,0,28,24,5,,0,1,,230,18.29,233,0.503
lax_fc6be577868a,Jonathan,Magana,12,0,0,0,0,0,0,0,1,2,0,,0,0,,34,24.12,16,0.32
lax_deef66b23609,Leroy,McIver,13,6,0,0,0,1,0,0,7,12,5,,0,0,,,,,
lax_e07127ab134e,Jake,Meyers,13,0,0,0,0,0,0,0,2,4,0,,0,0,,23,21.37,16,0.41
lax_f7e172c5c2b7,Andrew,Moe,14,6,0,0,0,8,2,0,4,10,2,,0,0,,,,,
lax_8dbf28766a86,Parker,Moore,15,8,0,0,0,1,1,0,7,13,6,,0,0,,,,,
lax_06951bc09678,Hank,Ohlen,15,14,0,0,0,1,0,0,11,15,10,,0,1,,,,,
lax_0cd0e6283b46,Eythan,Raso,14,2,0,0,0,0,0,0,12,6,6,,0,0,,,,,
lax_eb3d94e24866,Jaylin,Summers,14,5,0,0,0,7,3,0,29,25,12,,0,0,,,,,
lax_0243b08e1142,Jake,Degnan,16,16,24,20,44,136,71,2,35,39,6,,0,0,,,,,
lax_125aaa855493,Ryan,Berkel,16,16,25,18,43,95,60,0,26,35,11,,0,0,,,,,
lax_95905eb4c3b5,Bryan,Stensrud,15,15,20,10,30,46,34,1,17,24,4,,0,0,,,,,
