athlete_id,first_name,last_name,gp,gs,minutes,goals,assists,points,shots,sog,gwg,pk_goals,pk_att,yc,rc,gk_ga,gk_gaa,gk_saves,gk_sv_pct,gk_shutouts
soc_1e0ee2dc5526,Natalie,Workman,21,0,294,0,0,0,1,0,0,0,0,0,0,,,,,
soc_59ef87ac74a1,Ailani,Zires,19,9,1083,0,0,0,5,1,0,0,0,0,0,,,,,
soc_bbc12d1c4eae,Faith,Ingber,17,17,1266,4,1,9,26,14,1,0,0,1,0,,,,,
soc_a4dd4bb40c6a,Anna,Chunco,17,14,997,2,1,5,11,7,1,0,0,0,0,,,,,
soc_ea3689eb5510,Isabella,Reuter,16,14,1243,0,2,2,3,3,0,0,0,0,0,,,,,
soc_ea87df57cae5,Emily,Seiler,16,4,783,1,0,2,9,4,0,0,0,0,0,,,,,
soc_e2114092c53b,Tierney,Krawczyk,15,10,1029,0,1,1,20,10,0,0,0,1,0,,,,,
soc_9785f397bfab,Emily,Andersen,17,17,1502,0,0,0,2,1,0,0,0,0,0,,,,,
soc_8b9ff12ab168,Haylee,Babar,2,0,14,0,0,0,0,0,0,0,0,0,0,,,,,
soc_0e5b97794124,Renee,Bickham,15,13,1128,0,0,0,2,1,0,0,0,0,0,,,,,
soc_db546847ed2f,Sarah,Cantrell,16,15,1338,0,0,0,0,0,0,0,0,0,0,39,2.62,111,0.74,2
soc_1732e25a07ed,Scarlett,Cobos,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1.0,0
soc_e1de01f2fe40,Dani,Cruz,16,9,962,0,0,0,11,7,0,0,0,0,0,,,,,
soc_4998a3466390,Maddy,Dziedzic,2,0,24,0,0,0,0,0,0,0,0,0,0,,,,,
soc_dda49b1828dd,Siena,Figueroa,4,1,54,0,0,0,0,0,0,0,0,0,0,,,,,
soc_fde5ca5b86bf,Kate,Forsythe,4,1,90,0,0,0,0,0,0,0,0,0,0,,,,,
soc_a65ecd50f200,Stefanie,Hilty,11,2,439,0,0,0,0,0,0,0,0,0,0,,,,,
soc_73bec25fb4a4,Sasha,Honrath,1,0,8,0,0,0,0,0,0,0,0,0,0,,,,,
soc_28bbc86efe91,Jenica,Jones,14,9,684,0,0,0,0,0,0,0,0,0,0,,,,,
soc_eca9d2ddd442,Rhyan,Lewis,15,0,281,0,0,0,0,0,0,0,0,0,0,,,,,
soc_422feec8751e,Ellery,Mays,8,2,184,0,0,0,0,0,0,0,0,0,0,,,,,
soc_5551720d67af,Skyler,O'Malley,16,13,1114,0,0,0,2,1,0,0,0,0,0,,,,,
soc_b7063bf7dc1d,Samantha,Palmisano,10,9,793,0,0,0,1,1,0,0,0,0,0,,,,,
soc_be288c284c57,Brookelyn,Porter,13,3,329,0,0,0,3,2,0,0,0,0,0,,,,,
soc_477bfbccceef,Zoe,Ranieri,8,1,86,0,0,0,0,0,0,0,0,0,0,,,,,
soc_650e9df4f873,Ally,Stilo,13,2,257,0,0,0,1,0,0,0,0,0,0,,,,,
soc_4355a5f6be07,Bella,Thomas,17,17,1381,0,0,0,10,6,0,0,0,1,0,,,,,
soc_1346b32fcad4,Mia,Tillett,9,2,74,0,0,0,0,0,0,0,0,0,0,,,,,
soc_3103346498d7,Courtney,Toher,12,9,628,0,0,0,0,0,0,0,0,0,0,,,,,
soc_fd0b888b1021,Emma,Whalen,4,2,185,0,0,0,0,0,0,0,0,0,0,6,2.92,11,0.647,0
soc_350d7f044dc3,Rowan,McCrary,18,15,1116,4,4,12,43,24,2,0,0,0,0,,,,,
soc_d0d452953023,Linae,Bezdek,18,17,1327,3,2,8,23,13,2,0,0,0,0,,,,,
soc_fa4c10ce7745,Zoe,Simmons,19,18,1036,3,2,8,15,5,0,0,0,1,0,,,,,
soc_efb34460e32d,Kelsey,Yoshikawa,19,12,983,3,2,8,18,11,1,0,0,0,0,,,,,
soc_83bf11c969a7,Abby,Cockerill,18,12,1256,2,3,7,17,11,1,0,1,0,0,,,,,
soc_e518ca350b6f,Kaylin,O'Meara,12,8,784,1,4,6,11,4,0,0,0,0,0,,,,,
soc_31206ae05e67,Kate,Baldock,19,19,1376,1,3,5,12,5,0,0,0,0,0,,,,,
soc_a4e423f3dba5,Tatum,Cohen,19,2,704,2,1,5,14,9,1,0,0,0,0,,,,,
soc_939975c4c6c9,Brady,Campbell,16,16,1320,2,0,4,22,10,0,0,0,0,0,,,,,
soc_3256356179da,Kelsea,Laughrey,15,14,1017,0,4,4,12,3,0,0,0,0,0,,,,,
soc_93527e21b6ed,Isla,McNae,16,0,401,2,0,4,7,5,1,0,0,0,0,,,,,
soc_1c37293b19e5,Carmen,Talavera,19,19,1695,2,0,4,4,3,1,0,0,0,0,,,,,
soc_2ccf885e8251,Presley,King,19,19,1653,1,1,3,7,4,0,0,0,1,0,,,,,
soc_5ba325648803,Ella,Knox,17,12,865,1,0,2,7,3,0,0,0,0,0,,,,,
soc_684b45863fdb,Kayla,Sweeney,18,4,747,0,2,2,6,3,0,0,0,0,0,,,,,
soc_ac215b14062b,Ava,Darby,4,0,87,0,1,1,0,0,0,0,0,0,0,,,,,
soc_a478c7c0b048,Addie,Costello,2,1,90,0,0,0,0,0,0,0,0,0,0,1,1.0,3,0.75,0
soc_935e1cf83512,Hailey,Forman,17,17,1530,0,0,0,0,0,0,0,0,1,0,20,1.18,81,0.802,5
soc_2b86bd1258d8,Dylan,Parker,3,0,55,0,0,0,0,0,0,0,0,0,0,,,,,
soc_19bfb0b9475e,Sienna,Parker,17,2,662,0,0,0,0,0,0,0,0,1,0,,,,,
soc_16298df48f4d,Healey,Walker,2,1,89,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0.0,0
soc_5d374b320be7,Sarah,Dullaghan,22,22,1929,21,9,51,107,63,2,2,2,3,0,,,,,
soc_2243fb437a1e,Paige,Letourneau,22,22,1573,17,6,40,90,53,2,0,0,1,0,,,,,
soc_4509e28092bf,Aleena,Solano,13,12,696,9,5,23,32,19,2,0,0,0,0,,,,,
soc_09a3429cdf2d,Liz,McCormick,22,22,1501,6,9,21,74,44,3,0,0,0,0,,,,,
soc_fa95a24115ef,Ciara,Horan,15,14,1185,5,3,13,40,19,1,0,0,0,0,,,,,
soc_fa787ca9e007,Grace,Foster,22,1,782,5,1,11,30,18,0,0,0,0,0,,,,,
soc_215b31722dcf,Loliana,Morales,22,22,1616,4,3,11,36,14,1,0,0,0,0,,,,,
soc_bc1011a96cc6,Libby,Tennant,22,22,1884,4,3,11,8,6,0,0,0,0,0,,,,,
soc_db1fa4506ff9,Maya,Daryanani,17,8,744,3,3,9,18,9,1,0,0,0,0,,,,,
soc_4f5f1aee01bd,Annebel,Balogh de Galantha,22,21,1894,3,2,8,39,15,1,1,1,0,0,,,,,
soc_fd715648952d,Abby,Chambers,20,3,838,2,3,7,30,19,0,0,0,0,0,,,,,
soc_9b9e16980b69,Carla,Andreu Panighi,15,9,606,3,1,7,14,8,1,0,0,0,0,,,,,
soc_6ff9c64d89d6,Eva,Simmons,22,22,1811,2,1,5,18,9,1,0,0,1,0,,,,,
soc_c97e1eacdf71,Kayla,Silveira,18,0,531,1,1,3,11,7,0,0,0,0,0,,,,,
soc_3eac98228503,Lila,Wilcox,11,0,183,1,0,2,8,5,0,0,0,0,0,,,,,
soc_3fdb8f20c5e3,Alexandra,Gencarelli,22,16,1563,0,1,1,8,3,0,0,0,0,0,,,,,
soc_c3c5c3d0b7d6,Adriana,Melaragno,9,1,179,0,0,0,9,3,0,0,0,0,0,,,,,
soc_93abfca15820,Loretta,Petrashewicz,2,0,30,0,0,0,0,0,0,0,0,0,0,,,,,
