athlete_id,first_name,last_name,gp,goals,assists,points,plus_minus,minutes,goalie_ga,goalie_gaa,goalie_saves,goalie_sv_pct
ih_47373e214d31,Ethan,Gardula,38,9,8,17,5,4,,,,
ih_2f89ff65b92d,Thomas,Messineo,38,2,5,7,15,6,,,,
ih_c2743472c582,Jake,Percival,38,8,8,16,8,4,,,,
ih_609595758673,Jake,Richard,38,10,17,27,3,21,,,,
ih_026bc5083efd,Kaden,Shahan,38,9,11,20,4,0,,,,
ih_6f12c4a12e58,Trey,Scott,30,2,12,14,4,3,,,,
ih_f7af4a54cffd,Alexandre,Blais,38,6,13,19,2,4,,,,
ih_d95162a14243,Tabor,Heaslip,38,7,12,19,13,5,,,,
ih_bdfe33538027,Carlin,Dezainde,37,9,7,16,5,6,,,,
ih_758a7f124fd9,Mike,Murtagh,37,7,14,21,4,7,,,,
ih_89487d2c1c81,Joseph,Odyniec,8,0,2,2,3,0,,,,
ih_baf5f09ccbc3,Anthony,Allain-Samake,38,1,9,10,2,5,,,,
ih_6a4da427d9dc,Owen,Simpson,17,0,0,0,2,3,,,,
ih_9c45901f08fd,Ethan,Whitcomb,38,7,10,17,6,10,,,,
ih_9a67a568ace3,Patrick,Geary,35,2,9,11,15,15,,,,
ih_05d544b16e12,Sean,Barnhill,37,0,4,4,8,7,,,,
ih_a1634a39d179,Colin,Ralph,37,1,10,11,20,7,,,,
ih_c247295270f7,Travis,Shoudy,17,0,3,3,5,2,,,,
ih_206f2ec097e6,Cole,Ward,8,0,0,0,0,2,,,,
ih_0ffc87ba0fb4,Maxim,Strbak,37,3,15,18,20,5,,,,
ih_cae0d1f46222,Matt,Basgall,37,4,16,20,16,2,,,,
ih_e3c2828648af,Tommi,Männistö,37,12,9,21,14,3,,,,
ih_5ffa88bb4dfd,Owen,West,33,4,9,13,10,5,,,,
ih_deaf6d87718d,Griffin,Jurecki,22,2,3,5,5,1,,,,
ih_bafb79b3579d,Tiernan,Shoudy,37,7,13,20,18,9,,,,
ih_31a191889d2d,Matt,Lahey,19,0,5,5,6,2,,,,
ih_6cc275e02a7d,Charlie,Stramel,37,19,25,44,29,16,,,,
ih_96abc6aefae2,Ryker,Lee,35,15,15,30,5,8,,,,
ih_33de48a65eaf,Austin,Baker,14,0,1,1,0,0,,,,
ih_44ea424dac92,Daniel,Russell,37,11,28,39,25,11,,,,
ih_89785b28ac8e,Anthony,Romani,37,14,14,28,5,6,,,,
ih_5431101ae959,Porter,Martone,35,25,25,50,24,19,,,,
ih_5e3b17240078,Shane,Vansaghi,35,4,7,11,3,9,,,,
ih_098d24825c40,Nathan,Mackie,11,0,0,0,1,2,,,,
ih_b3900178998b,Cole,Burke,2,1,0,1,1,0,,,,
ih_9cb50d0b7027,Eric,Nilson,35,3,8,11,6,13,,,,
ih_864e354f9b7e,Cayden,Lindstrom,31,3,7,10,1,17,,,,
ih_ff233d9685be,Gavin,O'Connell,37,6,10,16,1,8,,,,
ih_36b61e602a85,Hunter,Hady,2,0,1,1,1,0,,,,
ih_863b5bde8bc7,Asher,Barnett,40,5,13,18,27,7,,,,
ih_e8147b73c3cf,Tyler,Duke,40,2,16,18,27,19,,,,
